shstReferenceId,PEMSID,ft,lanes
277391ae6e5d7ad974bbb66f7672f0d6,[404367],Freeway,2
2791cb565b295e0b9fe552ebe3732c9c,"[400435, 402915]",Freeway,4
279b677966946e5811b5a321c820e294,[402619],Freeway,2
280eb8745fa7f03574e7fda9d0f09759,[401488],Freeway,2
2818ee6adcc8ff4cf7066f333255d84c,[401137],Freeway,3
283ab4d618b9eac71c63ea4f1bf3498c,"[411233, 411234, 412786]",Freeway,3
2843ab2c84f16db9dfb26692227a8a96,"[407439, 410141, 410145]",Freeway,4
28463f71c4b723d71013c9244b2a8263,"[407157, 407158, 407159, 409061]",Freeway,4
2851096bfd261fea7b350d11c05ff8b3,"[400190, 400498, 403031, 403033]",Freeway,4
2854a17aa2cd305be59fc19ea17c71da,"[409720, 409721]",Freeway,3
288ebc5482fda5b0b68e68e1228301f1,[404625],Freeway,4
28a5c06e9a86a09ac86129d617acaaa7,[410502],Freeway,3
28bb7d4054d4da2fda957bd8f7100811,"[401857, 404663]",Freeway,4
28d4d956f75454a8c4ad2894336ebcee,"[400995, 400065]",Freeway,5
2928034d8f7cdaeb226a4485d254c25f,"[403239, 404713, 403235, 403236, 403238, 403240]",Freeway,5
2952e809b7be7a39e88a747984c89296,[401481],Freeway,6
29abac221c7717007705a5ba31626893,[401444],Freeway,4
29f9cc82a78fc3a1309d5e1765ad2124,[400565],Freeway,4
2a1cb280f4d3f9d9657a47e41607d2dc,"[400202, 400216]",Freeway,3
2a4ea14bb780c92082d21e5d35977cfb,[414250],Freeway,3
2aed41acd5da9415c89cde016a9df6c6,[401053],Freeway,5
2b2dd578ae3af282878affbd61f45fd8,"[400420, 403086, 403087]",Freeway,5
2b75937d394e97cfe0e7b7f68081f23e,[400692],Freeway,4
2bed83512427314a761626425467cf78,[402565],Freeway,4
2c650fda69270f09bacd9cc3c9f77d34,"[400409, 402944]",Freeway,4
2cf8f16b7810eb966dca71682f93e9e7,[403334],Freeway,5
2d162e6155ee42bdb79741cacd4390f7,"[402798, 414011]",Freeway,4
2d45fa248921fb5960071188433a708f,[412395],Freeway,4
2d7da0d1a8c5b46a100702f5d0d7fda7,"[407199, 407200, 409077]",Freeway,4
2d8fdd364113c030dd8a9d3cbcd289ba,"[401233, 403286]",Freeway,4
2dafec8752d362be6789bd03f10fd6cc,[404676],Freeway,4
2db0dbd7bb3cc49582788ad272acce38,[404292],Freeway,4
2e12dbc79f45a8cea6902a7694933e93,"[414050, 414051, 414052]",Freeway,3
2e359258cbd7a4c2a34854bd2e90802c,"[400791, 404719]",Freeway,3
2e741b59b239e3f876ef4df89e5f5dbe,[401699],Freeway,2
2e896afcd6cfbc42fa0dae4fb6dd1c1a,"[401762, 401770, 401778, 403056]",Freeway,5
2ee70d9fde6758f9f5b03b9071245b4a,"[400941, 402945, 402946]",Freeway,4
2f09a692b696cd9411b3bb2779144b80,"[414025, 414026, 414295]",Freeway,3
2f2998c842b19ad39ac6f50372c4370a,[400568],Freeway,6
2f496579fd26999c8ba7405d8ff72a40,"[401467, 404560, 400783]",Freeway,5
2f7967cee0c131a7f9c64bc376e4041e,[400238],Freeway,4
2fb1f33100be494eaa8c8f94713fe0d0,"[407363, 407365, 407364]",Freeway,3
2fc7780cd4e0fa000fb85257e0dd4597,[400231],Freeway,3
303f2d68ac3712bf4e632bfab13242c0,[414039],Freeway,2
3067e92a48626174b8bbb51e751c217c,[400395],Freeway,3
3083571b723048cf79bbc8ac2ae47dcf,[400052],Freeway,3
3084a52c377cdbd4a95bf9d3c34fce3c,"[400436, 403329]",Freeway,3
30948eef42a6e7b577420e6317ae411b,[404714],Freeway,4
31325800408e2edcebcdafb2b1779de7,[404604],Freeway,5
3169453619a893bf5828a3d639fc5556,[400835],Freeway,4
31d3f9be37ac893935d2bb38989cc349,[400676],Freeway,4
31dcf6d961e8d70a0aed5c02b695e7ba,"[400049, 401568]",Freeway,3
31fa49b4df8fd6f3f71a191a3b8372f6,[401637],Freeway,3
3232df5c869f75ceef1681ef1dc3d260,[400972],Freeway,4
325f08e5f0dc33104999a21d4838b9b6,[401997],Freeway,4
3278e5e2b043dce823623307d080f955,[402126],Freeway,3
328ab08fc6b88c8fb499b43fcbcc9397,[402589],Freeway,5
32955aec4b2aa3c5751cec952fd13f7a,"[402477, 408000, 408002]",Freeway,4
3296351e2f4dd4732d93d67d827bf3a0,"[403266, 403382]",Freeway,3
329eec8e8dc35bcd8d3ab65b0e363c3c,[401609],Freeway,3
32b4aac446361164de4eafdabd39b42a,"[400057, 413029]",Freeway,3
32c5a85ffe924ef1c3c8b1a1d1265543,"[400122, 408438]",Freeway,3
32d8ced62663b6ad645742b2588f7097,"[400636, 400933, 403124]",Freeway,4
32e405079fb3d399d45c14acd31aeb30,[402581],Freeway,4
332537c68c2ac5a5ed30357aca820d90,"[409966, 409967, 409968]",Freeway,5
332f91d7ec7de5ee5c4e4f6aab16436f,"[403060, 403061, 403059]",Freeway,0
333bd8799929e6b0f4361721fcca930c,[404672],Freeway,3
33536741d4e31541e3e29086a96e7813,"[403113, 403114, 401003, 403001, 403002]",Freeway,5
3398a11763e877aff9139c482f809043,[402570],Freeway,4
33eeb376201029b281dd5f0a371ff0a3,"[408614, 408615]",Freeway,4
33f482a2a47dfcbcb1ebeeaf1841cbe5,"[410115, 410116]",Freeway,0
3483f6d1f2c3736c34f130b45d8c913b,"[402017, 407964, 406327]",Freeway,3
34996492d5599e44d829aedae717f79e,"[410761, 410762, 410763]",Freeway,4
34ba1566f0d774baa4d0bc4a39d776c5,[401285],Freeway,5
34bd6e7298420d4e0f501f488ff5f24a,[403154],Freeway,0
34c3e1154bbcf2d6e13c700b8d0ade03,"[400093, 400300]",Freeway,4
352564e5a16e7fd6e174199be495700a,"[403205, 403206, 403207, 405679]",Freeway,4
359a98c2badce5aafb3c96834b1a6950,"[402234, 411804]",Freeway,4
35a0eb77f49f4843b03838bc6703d60a,"[400576, 401362, 402941, 402961]",Freeway,4
35ee29a962bb2d57bddb5fd674289d13,"[403407, 403408, 403409]",Freeway,5
360091de9ef1bb749bc9d93c97de135e,[402070],Freeway,2
3613705b902e4f9d92aca02ebc941ca0,"[401587, 403178, 401594]",Freeway,5
363b3759e59db5d46c9c73024df38f42,[404718],Freeway,4
364f54492dcf265f06ac37d4fb9d3b15,"[401327, 403413, 403414, 403415, 403416, 403417, 403418, 403419]",Freeway,4
3654b40dd2fb068207d17efab125b210,"[401649, 404572, 401875]",Freeway,5
365cd7f9dad7f91caeeff9c7c111a547,"[400335, 400546, 401434]",Freeway,4
368efdb25ae653e144c2fbbd87ea8cc4,[401744],Freeway,4
36ae2df807971951d22c3701d00032f6,"[402352, 404550]",Freeway,4
36bda1a658d83113cdcfc817ebeeb75a,[401156],Freeway,2
36f39ad673b89098e1f9de528751b7ff,[402043],Freeway,2
3704c339651b191bdf56a998495f38a7,[400683],Freeway,3
37484a80355bb7edc754519f2348ac38,[405780],Freeway,0
38ed7e156dda645a42bfdf133ffaeaf5,[404597],Freeway,4
38f757ac31f38959612eac4e2ef1a538,[401545],Freeway,5
390f485ead7b0e463f286000836f7189,[412010],Freeway,0
393c806462e2453f2ebdd5c5e650c702,"[403322, 403323, 404246]",Freeway,4
393d3f0abb902fcd0d2798d25cacf7a0,[406871],Freeway,2
3946aed5adac87ffb7f6c4a4c2a696f9,"[400443, 407247]",Freeway,4
39c450972647493b93e28693a62a3230,"[402521, 402522]",Freeway,2
3a25288a330a4cee5b82c2e1124ea7ad,[409528],Freeway,3
3a2d2f5e05e534804d839747516a0d6e,"[401443, 414212]",Freeway,4
3a5a45b487f729f86852a49ca600fac2,[409856],Freeway,3
3a695142aa93574364f9e3d91373709a,[402591],Freeway,4
3a983e6e9345f7b477a89d0d22064661,"[401260, 404392]",Freeway,4
3ae984ef5fda96435296332cd84451a0,"[402044, 402045]",Freeway,1
3b189be89e0368282ce5836cfc146f8a,[404643],Freeway,3
3b299c47bf31306b256873144cd545aa,[401431],Freeway,2
3b4c78bac60f685fcb6f15a97255b937,[410787],Freeway,0
3b8ebd7ac36488011c7407c0c07ab981,[400677],Freeway,4
3bbb726f5deaa6db441f68080aa551e1,"[401517, 401871]",Freeway,5
3c1b724b4f38539137f1689d52d80894,"[401218, 408108, 408109]",Freeway,2
3c4cacfc4ef375be85f542bb2e7aeeff,[400916],Freeway,3
3c507c7de05ed23384fc518a74bf7fd9,[402365],Freeway,5
3c6f434d22f8251e2ae6f2db7e61c093,"[403326, 403908, 403909]",Freeway,4
3c708bb767fa4d22216ac0f365f5745d,[409673],Freeway,3
3cec5df45a9e2ed3f7e9e6b231a4dc9a,[401855],Freeway,4
3d87483056bf3f3b2e3bfedb5e7d712e,[402120],Freeway,3
3d8fc9128d992f22cda8ac1bab588cba,[402410],Freeway,5
3e14c1518e2508dd1e98cd6772ba3c7b,"[400437, 403110]",Freeway,4
3e50d45d446634e39e7346b352280841,"[401547, 405323, 405324]",Freeway,2
3ec877c94f9053c7926bb8b870a684e7,[401394],Freeway,4
3edae59b4832e9ee827008ded7bb9fce,"[400378, 400819, 401041, 407307]",Freeway,4
3f0dc8391cc4c72d566b743ed327b5a0,[400622],Freeway,3
3f67ba0a9c38b568bc4d4263f26c3aed,"[401952, 414032, 414033, 414034]",Freeway,2
3fa5e04fc9157fee11c7e44954648e6c,"[400261, 400302, 403127]",Freeway,4
3faa9ee7e4366a11a986e4dbcef297d0,"[413786, 413787]",Freeway,4
3fe69a55506d7a078c327d075af084c8,"[400009, 400176, 407281, 406659]",Freeway,5
4028462195030d6f304bac38441cff5c,"[406715, 406716, 406717]",Freeway,4
402b540fdb3b81a8086bbc1bc0526a60,"[407187, 409075]",Freeway,4
40a60cab69bc96e17c0b7575cdb91fc4,"[409678, 409679]",Freeway,3
40ae8c918853f06a89f91055d4d3a425,"[401447, 402859, 402860]",Freeway,4
40fba0dc486e1009020fb8dc7e6db45c,[402269],Freeway,4
40fc4c07fc7b4a2f1e17e2b6b8d27ab4,[409919],Freeway,2
4177dd052592e338aa2b92a59e4fc66d,"[410764, 410765, 410766]",Freeway,4
41b2c79ed0b1108a43c694cf475b72a2,[402263],Freeway,3
41c86080bbf3294b9eec60be84671f24,[400015],Freeway,3
41db44b15d518906141837b854fafc4e,[400350],Freeway,4
41ddb3e5c0eb6577a08fe63c050ad775,[409918],Freeway,3
424fe9c8031bd98f7327196514e83ba3,"[402407, 402426]",Freeway,5
428160dff20b9cc2022e40e343880ff1,"[405857, 405859, 405853, 405856]",Freeway,5
429ad1b953a519ba1a2760dab2bf1619,[400902],Freeway,4
42b3fe1cd0b6e3f97fabd96fcf03ba2e,[400505],Freeway,5
42b72bf74897f7de4a32a4b1cdd0f35e,"[402058, 404463]",Freeway,3
42bd3a4546c145c3a9ad66ead0cf0658,"[400400, 402876]",Freeway,4
42e96fb77432121c84703d7a9aac9054,[402260],Freeway,3
