shstReferenceId,A_node,B_node,lanes_am,lanes_md,lanes_pm,name,min_lanes,max_lanes,osm_sfcta_names_dist
0251daa53595e03043501be865292059,22455,22462,1,1,1,REGENT,1,1,0
0260b5f657ec83c2ac24499f9ecdb485,27178,26431,1,1,1,FREDERICK,1,1,0
0261675db4ba6803e4cb5cb9becff2cc,26965,26770,3,3,3,LOMBARD,3,3,0
02657a25ca1374f2b11cafd349d29354,22293,22290,1,1,1,TERESITA,1,1,0
0266768252ca21d484d842580913434b,52254,33287,2,2,2,CESAR CHAVEZ,2,2,0
026999de94a926257605c7658f5ddea5,22107,22110,1,1,1,DELANO,1,1,0
026b63b6ff02ab056e774c2b157625e0,24679,24672,2,2,2,BUSH,2,2,0
026f29be4b72ceb35412e177b8611df7,23725,23727,1,1,1,23RD,1,1,0
0278267a18597f73a9670d35b0671247,23420,23421,1,1,1,PACHECO,1,1,0
027aac59213ef25c8014ec3c2149fd3f,26873,26874,1,1,1,SCOTT,1,1,0
027d5b4e95b6409c87a4fb450865948f,26620,26802,1,1,1,O FARRELL,1,1,1
027e274c81a45bdf097bf2d2f4e3b503,23032,23056,2,2,2,HOLLOWAY,2,2,0
02825ad1f6183bf459eb3c50d6941129,26484,26486,2,2,2,TURK,2,2,0
02837c9659c904cea66e40cd1292ffde,26918,26939,1,1,1,SACRAMENTO,1,1,0
028508566bc9fae247a090ee7863c409,24189,24190,3,3,3,POTRERO,3,3,0
02878bd93e9300f2a9e40ff681bed76d,24451,25918,2,2,2,HAYES,2,2,0
02932ca93c267676670b3992eea8f171,25476,25478,1,1,1,NORTH POINT,1,1,0
02952066f95e2e1b3a5781ebb62e94ad,25353,25352,1,1,1,GREEN,1,1,0
029707a717109531a1d0d9b86ab5ba55,21937,33401,1,1,1,SUSSEX,1,1,0
029f754624c0ebe52dc19276da569e8d,26575,26576,1,1,1,OCTAVIA,1,1,0
02a1554a565fa7d67dab51e62663a515,25674,25677,1,1,2,18TH,1,2,0
02a4ead713db93876e7dea59d8432734,52220,33738,1,1,1,LAKE MERCED HILL,1,1,100
02a56e6080d8a3c307c45439871a4427,22819,33007,1,1,1,SANTA PAULA,1,1,0
02ac77f497619436630863be65ccfb5d,20846,50967,1,1,1,BOWDOIN,1,1,100
02add8dd85538189001e11fe35f35319,23367,23369,1,1,1,WAWONA,1,1,0
02b2572a76719903be237c9f8bc23e65,25881,25727,1,1,1,CHURCH,1,1,0
02b350fa336c4d1cfe524555ea3ef096,26751,26748,3,3,3,LOMBARD,3,3,0
02bf01563b96953c148e5428891da167,27716,27725,1,1,1,JUDAH,1,1,0
02c23ce22fd914d1a9c5accc23870c82,20891,20869,1,1,1,HAMILTON,1,1,0
02c5c51542acf870ba27f5f8842bc4a6,21716,21719,1,1,1,LISBON,1,1,0
02c842198e66f52325d08da1261e3c12,21890,21349,3,3,3,SAN JOSE,3,3,0
02c8544cfa6d4eaa868f17e83ab2df47,20264,20466,1,1,1,KEY,1,1,0
02c98dd8e007bef6c148dfe2b23984c8,26722,26739,1,1,1,LAGUNA,1,1,0
02ca4ad965722f4207f959188469d2e0,26384,26390,1,1,1,CENTRAL,1,1,0
02cb4713b0ad3c827af0649891674ba9,23343,23350,1,1,1,WAWONA,1,1,0
02d310de5e68280a160efa4eeb0e4111,25710,25718,1,1,1,19TH,1,1,6
02d33e2687a59918eaf1885f07b464a0,25682,25679,2,2,2,DOLORES,2,2,0
02d717afc23c444aa802b0c0749fc8fb,28017,28018,1,1,1,CALIFORNIA,1,1,0
02d9a8840fa9fe6cce538ef4c45af2fc,21796,33394,2,2,2,SAN JOSE AV ON-RAMP,2,2,100
02dd7588c29ad8b687d395d6dd6057d8,22777,22778,1,1,1,MONCADA,1,1,0
02e13414f9423a720a4509081b639a9d,22556,22549,4,4,4,JUNIPERO SERRA,4,4,0
02e332febfa7c6119c02a2bf93bd537e,21578,33493,2,2,2,ALEMANY,2,2,0
02e48e7ecb39b40a6b1d648be7887275,20295,20300,1,1,1,SAN BRUNO,1,1,0
02e54ae03d3d3af0e26ca6c82006e4fc,30744,24434,3,3,3,LARKIN,3,3,0
02e999d5103bf3f87b62135dd3888c3c,23012,23006,1,1,1,BANBURY,1,1,0
02ea421777e657e9a902b960d5b4cf85,25296,25301,2,2,2,SACRAMENTO,2,2,0
02ea5b9dd31118cd903b60624e557216,23412,23465,1,1,1,RIVERA,1,1,0
02ed2842d2f7b311f86e7e332b09686e,27146,27158,1,1,1,KIRKHAM,1,1,0
02f1da6d077fd9ece8eb770ece65d6fa,28018,27842,1,1,1,29TH,1,1,0
02f7e9ee7c72ff8804afdbcb77b02d29,22230,22232,2,2,2,MONTEREY,2,2,0
02f851da6deb28167353c697dcb6ac87,24009,24006,1,1,1,YORK,1,1,0
02fa781f5f7ff5ba423358f59f4d414a,21933,21936,1,1,1,CASTRO,1,1,0
02fbebc924482dd9d075a3f0d7bf509b,25809,25804,1,1,1,NOE,1,1,0
02fc130ec46c2ed96af6ed3fb0456959,20112,20113,1,1,1,ARMSTRONG,1,1,0
02fe6dc05613ce5532df22cb94213b37,24291,24315,3,3,3,7TH,3,3,0
030084194a445259e84d8fd642f9ec9d,27355,27356,1,1,1,JUDAH,1,1,0
030950a0cbd5b810e534e82cf048bfd9,24277,24273,1,1,1,CLEMENTINA,1,1,0
030d0a3a951db2e7476eaea6fd3cd3aa,33005,22907,1,1,1,SAN ANSELMO,1,1,0
030e88cf0e13a824256d07c59e5d45a6,22921,22875,1,1,1,CLAREMONT,1,1,0
03126980548381c256a2026de2e63d3e,22545,22524,2,2,2,BROTHERHOOD,2,2,0
0312eb546217e1080fcc50e95fa0e8c5,27745,27747,2,2,2,LINCOLN,2,2,7
031d268ff01a22a6eba23241c18331ee,20142,20148,1,1,1,INGALLS,1,1,8
031f87a46f0ee11033e7ca11dda8612c,25140,25144,3,3,3,ELLIS,3,3,0
0323abf8ad7510e427c3b2a0c6ab1bb1,25704,25706,2,2,2,16TH,2,2,0
0327db931fce8c2dd2a96265c25be251,51085,22064,1,1,1,VALERTON,1,1,100
03286bfbfd101c87c3a247e861ad46b2,23912,50053,1,1,1,FARGO,1,1,100
032b7ce12340a528b9f140399bfb4fe1,26324,26344,1,1,1,PAGE,1,1,0
032dbfb90dff7e018a8351262271aa0b,25181,25182,1,1,1,POLK,1,1,0
03336eaa009358ea5b60bbfbbffb9645,33246,50867,1,1,1,CLEARVIEW,1,1,100
0337ce1de04b21b3a0d3786a4f8848d2,22100,22095,1,1,1,DELANO,1,1,0
033b367c5e1c93818e733ea8046c93fb,20207,50788,1,1,1,DUKES,1,1,6
033e236d676802a12b803528c8ef617b,26838,26839,1,1,1,PRESIDIO,1,1,0
03444c16fbdb37e54b14e3a014cc49e4,21740,21800,1,1,1,SAN JUAN,1,1,0
0347c87868d598d58f0bdf81e55a5b43,25965,25956,1,1,1,FULTON,1,1,0
034815e6271c32fd8b4b1c1b8497f656,20668,20669,1,1,1,NEWHALL,1,1,0
034882296fb870b3f3dbed7d75bcafad,22987,22990,1,1,1,TARAVAL,1,1,0
034d1d2b425b341da95d4715b29f0835,33614,33032,1,1,1,DIVISION,1,1,8
034ffd64a33dc1685d5202c839f0ca65,20580,20581,1,1,1,GOETTINGEN,1,1,0
0354fad8305925c98fee0cd3730917f4,21185,21183,1,1,1,OGDEN,1,1,5
03567a61ae71b6c79ac40561ceedfb14,23454,23452,1,1,1,45TH,1,1,0
0357e4d1ddfff8ef0dbbb64b348d271c,27798,27796,1,1,1,41ST,1,1,0
